"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms","Hop_22_IP","Hop_22_Latency_ms","Hop_23_IP","Hop_23_Latency_ms","Hop_24_IP","Hop_24_Latency_ms","Hop_25_IP","Hop_25_Latency_ms","Hop_26_IP","Hop_26_Latency_ms"
"2025-11-01 02:36:03","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","72","True","100","Excelente","192.168.1.1","3","100.64.0.1","8","172.16.30.1","9","45.189.68.5","9","172.17.16.17","374","172.17.1.74","16","*","0","*","0","142.251.253.66","73","192.178.240.101","10","172.217.29.78","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 02:55:21","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","98","True","100","Excelente","192.168.0.1","5","10.35.60.1","18","201.6.72.9","15","201.6.64.196","23","*","0","*","0","192.178.253.82","20","192.178.253.75","17","*","0","192.178.253.75","25","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 03:22:04","ARCO-C02FC050Q05G","guilherme.gomes","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","115","True","77","Bom","*","0","*","0","*","0","*","0","*","0","201.6.65.228","13","*","0","*","0","74.125.242.190","24","192.178.240.99","14","216.239.62.45","16","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","",""
"2025-11-01 03:31:36","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","138","True","73","Bom","192.168.0.1","12","10.35.60.1","18","201.6.72.9","20","201.6.64.196","20","*","0","*","0","108.170.248.212","21","209.85.244.85","16","*","0","209.85.244.85","15","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 04:15:42","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","106","True","79","Bom","10.0.0.1","4","192.168.0.1","4","10.39.124.1","12","201.6.72.97","12","201.6.64.212","13","201.6.65.228","13","*","0","192.178.240.99","19","192.178.84.59","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 04:06:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","19","True","100","Excelente","192.168.0.1","5","10.35.60.1","15","201.6.72.9","14","201.6.64.196","17","*","0","*","0","142.250.208.12","50","108.170.238.181","16","*","0","142.250.238.249","16","*","0","*","0","*","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 04:24:05","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","71","True","100","Excelente","192.168.1.1","4","100.64.0.1","12","172.16.30.1","6","45.189.68.5","8","172.17.16.17","12","172.17.1.74","22","*","0","*","0","142.250.208.12","8","192.178.84.58","7","209.85.253.1","7","142.250.79.206","9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 05:03:58","ARCO-C02FC050Q05G","guilherme.gomes","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","145","True","71","Bom","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","172.253.53.124","15","192.178.240.99","18","216.239.56.209","17","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","172.217.29.78","17","","","","","","","",""
"2025-11-01 05:12:00","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","178","True","65","Aceitável","*","0","10.35.60.1","18","201.6.72.9","19","201.6.64.196","51","*","0","*","0","192.178.240.98","64","192.178.84.178","18","142.251.255.13","46","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","","","","","",""
"2025-11-01 05:40:29","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","70","True","100","Excelente","10.0.0.1","5","192.168.0.1","3","10.39.124.1","12","201.6.72.97","14","201.6.64.212","14","201.6.65.228","16","*","0","*","0","192.178.110.168","17","209.85.253.0","17","*","0","192.178.240.99","15","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","","","",""
"2025-11-01 05:57:04","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","69","True","100","Excelente","192.168.1.1","4","100.64.0.1","10","172.16.30.1","6","45.189.68.5","8","172.17.16.17","18","172.17.1.74","12","*","0","*","0","209.85.252.160","53","172.253.53.127","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 06:07:12","ARCO-C02FC050Q05G","guilherme.gomes","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","97","True","100","Excelente","*","0","192.168.0.1","4","10.39.124.1","59","201.6.72.97","102","201.6.64.212","56","201.6.65.228","58","*","0","*","0","172.253.53.124","16","192.178.240.101","16","216.239.62.45","17","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","",""
"2025-11-01 06:04:13","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","7090","True","0","Ruim","*","0","*","0","*","0","*","0","*","0","*","0","192.178.110.240","58","192.178.84.180","43","142.251.255.53","42","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","172.217.162.14","37","","","","","","","","","","","","","",""
"2025-11-01 06:42:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","89","True","100","Excelente","10.0.0.1","15","192.168.0.1","6","10.39.124.1","12","201.6.72.97","12","201.6.64.212","12","201.6.65.228","13","*","0","*","0","192.178.110.182","18","142.251.255.52","50","*","0","192.178.240.101","17","*","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 06:55:36","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","167","True","67","Aceitável","*","0","*","0","*","0","*","0","*","0","*","0","172.253.76.48","31","108.170.238.181","16","*","0","108.170.238.181","21","*","0","*","0","*","0","*","0","*","0","*","0","*","0","172.217.30.142","18","","","","","","","","","","","","","","","",""
"2025-11-01 07:12:03","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","217","True","57","Aceitável","165.225.214.105","45","165.225.214.3","22","8.243.34.13","23","200.189.213.6","48","8.243.145.162","29","*","0","192.178.253.72","18","142.251.253.67","19","142.251.133.78","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 07:30:43","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","67","True","100","Excelente","192.168.1.1","4","100.64.0.1","7","172.16.30.1","6","45.189.68.5","7","172.17.16.17","7","172.17.1.74","8","*","0","*","0","108.170.235.138","7","216.239.59.18","10","142.251.255.7","8","172.217.30.142","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 07:50:18","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","102","True","80","Bom","165.225.214.99","15","165.225.214.3","15","8.243.34.13","15","200.189.212.154","22","8.243.145.162","16","*","0","172.253.66.188","25","192.178.253.83","18","172.217.172.174","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 08:20:14","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","221","True","56","Aceitável","165.225.214.105","17","165.225.214.3","16","8.243.34.13","27","200.189.212.154","18","8.243.145.162","18","*","0","192.178.110.176","30","216.239.59.18","52","142.251.252.159","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 08:06:52","ARCO-C02FC050Q05G","guilherme.gomes","São João da Barra","RJ","165.225.214.106","ZSCALER, INC.","165.225.214.106","meet.google.com","79","True","100","Excelente","10.0.0.1","5","192.168.0.1","5","10.39.124.1","13","201.6.72.97","13","201.6.64.212","17","201.6.65.228","27","*","0","*","0","108.170.229.40","23","192.178.84.58","15","*","0","192.178.253.81","18","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","","","",""
"2025-11-01 08:51:10","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","82","True","100","Excelente","10.0.0.1","5","192.168.0.1","7","10.39.124.1","18","201.6.72.97","12","201.6.64.212","13","201.6.65.228","14","*","0","*","0","209.85.249.17","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 08:36:45","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","292","True","42","Ruim","192.168.0.1","33","10.35.60.1","122","201.6.72.9","21","201.6.64.196","20","*","0","*","0","172.253.53.126","29","209.85.251.82","22","192.178.84.55","17","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","142.250.78.110","26","","","","","","","","","","","","","","","",""
"2025-11-01 08:48:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","90","True","100","Excelente","192.168.1.1","300283","100.64.0.1","58","172.16.30.1","21","45.189.68.5","22","172.17.16.17","12","172.17.1.74","9","*","0","*","0","209.85.252.160","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 09:14:37","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","204","True","60","Aceitável","165.225.214.105","21","165.225.214.3","19","8.243.34.13","26","*","0","8.243.145.162","19","*","0","192.178.240.98","21","108.170.238.181","15","172.217.30.142","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 09:15:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","227","True","55","Aceitável","165.225.214.105","17","165.225.214.3","19","8.243.34.13","27","200.189.212.154","23","8.243.145.162","19","*","0","192.178.240.98","21","142.250.238.249","25","172.217.30.142","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 09:40:50","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","70","True","100","Excelente","10.0.0.1","11","192.168.0.1","16","10.39.124.1","13","201.6.72.97","16","201.6.64.212","26","201.6.65.228","25","*","0","*","0","209.85.244.60","17","192.178.253.81","13","142.251.255.53","18","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","","","",""
"2025-11-01 10:09:40","ARCO-C02FC050Q05G","guilherme.gomes","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","81","True","100","Excelente","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","192.178.110.178","18","*","0","209.85.253.1","17","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","",""
"2025-11-01 10:43:51","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","111","True","78","Bom","165.225.214.99","18","165.225.214.3","17","8.243.34.13","28","200.189.212.154","20","8.243.145.162","17","*","0","142.250.58.138","20","192.178.84.54","18","172.217.172.174","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 10:31:38","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","430","True","14","Ruim","192.168.0.1","9","10.35.60.1","20","201.6.72.9","30","201.6.64.196","28","*","0","*","0","74.125.37.134","21","108.170.238.181","22","*","0","142.250.238.249","24","*","0","*","0","*","0","*","0","*","0","*","0","*","0","172.217.30.142","36","","","","","","","","","","","","","","","",""
"2025-11-01 10:33:50","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","621","True","0","Ruim","192.168.1.1","4","100.64.0.1","12","172.16.30.1","14","45.189.68.5","8","172.17.16.17","17","172.17.1.74","19","*","0","*","0","192.178.240.76","10","192.178.253.71","7","172.217.162.174","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:10:15","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","75","True","100","Excelente","165.225.214.99","21","165.225.214.3","133","8.243.34.13","16","200.189.212.154","19","8.243.145.162","35","*","0","192.178.253.76","33","192.178.84.180","21","172.217.172.174","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 10:48:13","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","294","True","42","Ruim","165.225.214.105","16","165.225.214.3","17","8.243.34.13","15","200.189.212.154","19","8.243.145.162","17","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0"
"2025-11-01 11:17:33","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","172","True","66","Aceitável","165.225.214.105","17","165.225.214.3","17","8.243.34.13","25","200.189.212.154","22","8.243.145.162","19","*","0","142.251.196.190","23","108.170.238.181","30","209.85.254.59","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:18:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","23","True","100","Excelente","165.225.214.105","18","165.225.214.3","18","8.243.34.13","24","200.189.212.154","18","8.243.145.162","18","*","0","192.178.240.100","19","108.170.238.181","28","142.251.255.53","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:21:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","28","True","100","Excelente","165.225.214.105","18","165.225.214.3","19","8.243.34.13","19","*","0","8.243.145.162","18","*","0","192.178.253.80","19","142.250.238.249","19","142.251.255.13","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:24:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","107","True","79","Bom","165.225.214.105","23","165.225.214.3","22","8.243.34.13","26","200.189.213.6","23","8.243.145.162","22","*","0","172.253.78.32","27","142.251.255.12","20","192.178.84.179","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:27:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","69","True","100","Excelente","165.225.214.105","17","165.225.214.3","18","8.243.34.13","18","200.189.213.6","15","8.243.145.162","17","*","0","108.170.231.64","21","192.178.110.171","17","172.217.29.142","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:30:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","147","True","71","Bom","165.225.214.105","23","165.225.214.3","18","8.243.34.13","18","200.189.213.6","31","8.243.145.162","17","*","0","192.178.240.100","38","216.239.56.208","25","142.251.255.13","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:33:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","198","True","61","Aceitável","165.225.214.105","18","165.225.214.3","16","8.243.34.13","19","*","0","8.243.145.162","19","*","0","192.178.240.76","23","142.250.238.249","18","142.251.252.159","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:36:12","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","94","True","100","Excelente","165.225.214.105","24","165.225.214.3","22","8.243.34.13","29","200.189.212.154","25","8.243.145.162","18","*","0","108.170.248.212","34","142.250.238.249","19","142.251.255.7","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:39:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","116","True","77","Bom","165.225.214.105","42","165.225.214.3","19","8.243.34.13","25","200.189.212.154","18","8.243.145.162","19","*","0","108.170.248.212","16","216.239.62.64","27","142.251.252.159","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:42:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","66","True","100","Excelente","165.225.214.105","17","165.225.214.3","26","8.243.34.13","25","*","0","8.243.145.162","23","*","0","192.178.110.242","22","192.178.253.81","24","209.85.254.59","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:44:37","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","75","True","100","Excelente","165.225.214.99","21","165.225.214.3","18","8.243.34.13","25","200.189.212.154","23","8.243.145.162","16","*","0","209.85.245.66","17","192.178.253.83","18","142.251.255.13","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:45:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","45","True","100","Excelente","165.225.214.99","19","165.225.214.3","15","8.243.34.13","22","200.189.212.154","19","8.243.145.162","17","*","0","*","0","192.178.84.178","16","172.217.172.174","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:48:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","25","True","100","Excelente","165.225.214.105","17","165.225.214.3","15","8.243.34.13","24","200.189.212.154","25","8.243.145.162","20","*","0","192.178.240.100","18","192.178.253.81","15","209.85.251.83","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:50:10","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","129","True","75","Bom","192.168.1.1","4","100.64.0.1","9","172.16.30.1","34","45.189.68.5","8","172.17.16.17","8","172.17.1.74","15","*","0","*","0","108.170.232.146","60","216.239.56.208","8","142.251.252.159","8","172.217.30.110","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:51:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","71","True","100","Excelente","165.225.214.105","15","165.225.214.3","25","8.243.34.13","17","*","0","8.243.145.162","19","*","0","172.253.53.124","17","216.239.59.18","20","172.217.162.238","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:59:51","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","99","True","100","Excelente","165.225.214.105","23","165.225.214.3","23","8.243.34.13","19","200.189.212.154","29","8.243.145.162","19","*","0","192.178.240.74","33","192.178.84.180","16","172.217.28.206","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
