"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms"
"2025-11-06 00:24:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","72","True","100","Excelente","10.13.0.1","7","177.195.26.9","7","200.179.185.9","7","200.244.80.14","18","200.244.211.235","64","200.244.18.8","63","201.39.52.58","62","142.250.214.91","63","142.251.48.147","67","142.250.78.174","67"
"2025-11-06 00:27:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","71","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.249.20.249","8","200.244.80.14","17","200.244.211.235","65","200.244.18.8","64","201.39.52.58","63","142.250.214.29","66","209.85.242.49","67","172.217.172.14","67"
"2025-11-06 00:30:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","73","True","100","Excelente","10.13.0.1","8","177.195.26.9","8","200.249.20.229","7","200.244.211.235","67","200.244.18.8","66","201.39.52.58","66","142.250.214.91","68","142.251.245.47","70","142.250.219.14","69",,
"2025-11-06 00:33:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","72","True","100","Excelente","10.13.0.1","7","177.195.26.9","22","200.249.20.229","9","200.244.211.235","67","200.244.18.8","70","201.39.52.58","66","142.250.214.91","67","142.251.245.47","70","142.250.219.14","70",,
"2025-11-06 00:36:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","71","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.179.185.5","8","200.244.80.14","17","200.244.211.235","66","200.244.18.8","64","201.39.52.58","63","142.250.214.91","65","142.251.48.163","67","142.250.218.238","67"
"2025-11-06 00:39:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","70","True","100","Excelente","10.13.0.1","8","177.195.26.9","8","200.249.20.229","7","200.244.211.235","68","200.244.18.8","67","201.39.52.58","66","142.250.214.91","71","142.251.245.47","69","142.250.219.14","69",,
"2025-11-06 00:42:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","70","True","100","Excelente","10.13.0.1","7","177.195.26.9","8","200.179.185.5","7","200.244.80.14","17","200.244.211.235","66","200.244.18.8","64","201.39.52.58","63","142.250.214.91","65","142.251.48.163","67","142.250.218.238","68"
"2025-11-06 00:45:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","76","True","100","Excelente","10.13.0.1","8","177.195.26.9","8","200.249.20.229","7","200.244.211.235","67","200.244.18.8","68","201.39.52.58","66","142.250.214.91","68","142.251.245.47","70","142.250.219.14","69",,
"2025-11-06 00:48:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","74","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.179.185.5","8","200.244.80.14","17","200.244.211.235","66","200.244.18.8","64","201.39.52.58","63","142.250.214.91","66","142.251.48.163","69","142.250.218.238","68"
"2025-11-06 00:51:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","72","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.179.185.5","7","200.244.80.14","17","200.244.211.235","65","200.244.18.8","64","201.39.52.58","63","142.250.214.91","66","142.251.48.163","68","142.250.218.238","67"
"2025-11-06 00:54:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","73","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.179.185.5","7","200.244.80.14","18","200.244.211.235","66","200.244.18.8","66","201.39.52.58","64","142.250.214.91","65","142.251.48.163","68","142.250.218.238","70"
"2025-11-06 00:57:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","74","True","100","Excelente","10.13.0.1","7","177.195.26.9","10","200.249.20.229","7","200.244.211.235","68","200.244.18.8","66","201.39.52.58","66","142.250.214.91","68","142.251.245.47","69","142.250.219.14","69",,
"2025-11-06 00:54:41","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com",,"False","0","Falha Crítica (Serviço Inacessível)",,,,,,,,,,,,,,,,,,,,
"2025-11-06 01:00:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","72","True","100","Excelente","10.13.0.1","7","177.195.26.9","8","200.249.20.229","7","200.244.211.235","69","200.244.18.8","65","201.39.52.58","65","142.250.214.91","67","142.251.245.47","69","142.250.219.14","70",,
"2025-11-06 01:03:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","71","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.249.20.229","7","200.244.211.235","67","200.244.18.8","65","201.39.52.58","66","142.250.214.91","67","142.251.245.47","69","142.250.219.14","69",,
"2025-11-06 01:06:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","72","True","100","Excelente","10.13.0.1","8","177.195.26.9","8","200.179.185.9","8","200.244.80.14","17","200.244.211.235","64","200.244.18.8","63","201.39.52.58","62","142.250.214.91","63","142.251.48.147","66","142.250.78.174","67"
"2025-11-06 01:09:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","72","True","100","Excelente","10.13.0.1","10","177.195.26.9","18","200.179.185.9","7","200.244.80.14","19","200.244.211.235","63","200.244.18.8","63","201.39.52.58","63","142.250.214.91","64","142.251.48.147","66","142.250.78.174","65"
"2025-11-06 01:12:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","70","True","100","Excelente","10.13.0.1","7","177.195.26.9","46","200.179.185.9","7","200.244.80.14","17","200.244.211.235","64","200.244.18.8","63","201.39.52.58","61","142.250.214.91","63","142.251.48.147","66","142.250.78.174","66"
"2025-11-06 01:15:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","202","True","60","Aceitável","10.13.0.1","7","177.195.26.9","8","200.179.185.9","8",,,"200.244.211.235","65","200.244.18.8","63","201.39.52.58","62","142.250.214.91","64","142.251.48.147","67","142.250.78.174","66"
"2025-11-06 01:18:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","70","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.249.20.229","8","200.244.211.235","67","200.244.18.8","78","201.39.52.58","67","142.250.214.91","67","142.251.245.47","70","142.250.219.14","69",,
"2025-11-06 01:18:11","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","22","True","100","Excelente",,,"100.120.32.77","4","100.120.25.221","4","100.120.26.35","15","72.14.198.152","11","142.251.69.137","35","209.85.244.85","20","142.250.219.206","13",,,,
"2025-11-06 01:21:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","69","True","100","Excelente","10.13.0.1","8","177.195.26.9","20","200.249.20.229","7","200.244.211.235","67","200.244.18.8","66","201.39.52.58","66","142.250.214.91","68","142.251.245.47","69","142.250.219.14","69",,
"2025-11-06 01:24:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","69","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.249.20.229","8","200.244.211.235","68","200.244.18.8","66","201.39.52.58","65","142.250.214.91","67","142.251.245.47","69","142.250.219.14","70",,
"2025-11-06 01:27:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","77","True","100","Excelente","10.13.0.1","7","177.195.26.9","57","200.179.185.5","7","200.244.80.14","29","200.244.211.235","81","200.244.18.8","83","201.39.52.58","74","142.250.214.91","65","142.251.48.163","67","142.250.218.238","67"
"2025-11-06 01:30:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","68","True","100","Excelente","10.13.0.1","8","177.195.26.9","8","200.179.185.5","8","200.244.80.14","18","200.244.211.235","65","200.244.18.8","65","201.39.52.58","64","142.250.214.91","66","142.251.48.163","68","142.250.218.238","68"
